temperature,vibration,pressure,humidity,oil_quality,failure
75.96,3.93,5.15,31.82,83.55,0
68.34,3.53,4.9,54.28,44.2,0
77.77,2.42,6.43,28.07,75.36,0
88.28,3.49,7.3,62.36,53.85,0
67.19,4.73,6.03,33.78,59.11,0
67.19,3.18,6.52,56.11,65.86,0
88.95,4.55,4.67,50.64,62.85,0
79.21,1.41,5.19,30.43,34.83,0
64.37,1.99,7.23,63.16,89.87,0
76.51,1.66,5.79,73.81,85.42,0
64.44,2.09,4.64,33.76,62.37,0
64.41,6.72,5.05,35.18,81.82,0
72.9,5.32,6.56,46.03,57.84,0
47.04,0.81,6.69,58.01,47.32,0
49.3,4.59,3.74,63.37,65.98,0
63.25,2.52,5.54,39.63,43.96,0
57.85,1.79,4.99,47.07,75.96,0
73.77,0.21,4.9,39.72,52.35,0
59.1,5.93,7.0,38.81,36.2,0
53.05,0.09,4.64,37.03,0.0,1
87.59,3.37,4.14,24.55,62.71,0
67.29,1.13,3.78,57.95,70.77,0
70.81,5.44,4.74,46.53,89.08,0
52.9,2.66,3.9,67.89,33.77,0
63.47,3.16,3.7,57.36,83.17,0
71.33,3.25,3.67,39.0,56.23,0
56.19,4.26,3.75,27.88,63.89,0
74.51,3.53,3.86,73.01,65.1,0
62.79,3.39,5.6,19.52,64.81,0
66.5,2.2,2.06,39.87,28.41,1
62.78,0.44,3.95,40.11,77.89,0
92.23,0.7,4.85,35.29,80.02,1
69.84,5.3,6.72,32.23,82.22,0
57.31,2.74,4.63,26.68,73.77,0
79.87,1.84,4.77,34.12,61.27,0
55.35,0.01,4.87,44.23,38.58,0
72.51,0.8,2.26,49.59,73.07,0
46.48,1.74,5.99,37.13,65.69,0
54.06,5.72,5.93,37.05,64.96,0
72.36,2.11,6.22,29.36,72.93,0
78.86,4.5,8.76,47.51,64.19,0
72.06,1.99,3.05,45.72,57.01,0
68.61,5.1,2.77,50.69,43.76,0
66.39,2.62,6.06,36.88,64.89,0
52.26,0.42,4.49,31.34,91.52,0
61.36,2.83,3.52,44.71,45.15,0
64.47,8.09,4.58,52.81,83.06,1
82.69,7.97,4.07,31.69,77.86,0
74.12,4.72,7.59,35.59,34.18,0
48.84,3.16,8.39,26.63,75.95,0
73.89,4.26,2.55,27.42,65.33,0
65.38,4.29,2.79,36.8,63.5,0
61.88,3.4,3.86,32.38,100.0,0
77.34,4.6,3.97,57.01,81.94,0
82.37,4.02,3.84,45.45,48.29,0
81.18,2.71,4.71,63.98,76.52,0
59.93,0.51,4.33,64.13,48.5,0
66.29,2.35,2.97,45.23,49.25,0
73.98,5.5,3.46,14.94,67.89,0
81.71,3.42,7.32,50.98,86.13,0
64.25,4.25,4.46,62.16,38.23,0
67.77,2.79,4.39,54.49,55.93,0
56.72,0.85,2.72,50.23,86.17,0
55.65,2.9,4.31,41.28,48.07,0
79.75,0.94,6.44,27.33,65.57,0
86.27,0.78,5.89,54.38,59.41,0
69.14,6.51,6.22,42.07,87.98,0
82.04,2.45,3.19,49.68,70.74,0
74.34,1.65,3.17,36.19,59.62,0
62.26,7.54,6.7,74.99,49.94,0
74.34,5.54,6.24,48.59,100.0,0
88.46,2.57,4.61,39.3,63.64,0
69.57,4.57,6.28,27.95,60.93,0
88.78,2.91,3.2,24.02,73.99,0
38.56,1.77,3.13,54.31,77.94,0
79.86,4.69,2.57,36.27,39.8,0
71.04,2.69,5.54,38.25,61.58,0
66.41,3.69,5.33,36.86,45.7,0
71.1,6.05,4.22,28.62,54.84,0
46.15,5.78,3.83,40.65,87.92,0
67.36,2.12,8.62,45.85,85.76,0
74.29,4.72,4.61,29.9,75.6,0
87.73,0.68,7.08,49.98,39.71,0
63.78,4.63,4.78,26.65,68.36,0
60.3,3.87,4.25,38.39,54.64,0
63.98,4.45,7.12,50.47,82.85,0
80.98,2.76,6.18,44.8,54.86,0
73.95,8.71,4.96,20.38,50.1,1
63.64,1.25,6.7,3.21,71.49,0
76.16,5.93,8.78,53.5,86.84,0
71.16,0.92,3.9,55.35,84.22,0
81.62,4.76,5.71,51.56,88.39,0
61.58,4.94,4.39,41.59,88.55,0
66.07,3.64,3.6,41.28,94.39,0
65.29,2.26,3.56,43.4,68.25,0
52.44,3.85,7.39,53.78,57.0,0
73.55,4.17,2.26,43.0,50.14,0
73.13,7.97,5.76,50.61,86.5,0
70.06,1.32,3.76,64.71,61.89,0
67.18,2.11,7.66,30.49,48.62,0
53.02,4.21,4.59,42.22,74.41,0
64.95,2.86,4.45,32.12,38.95,0
65.89,3.25,7.35,39.1,45.56,0
60.37,6.18,6.32,43.48,68.91,0
68.06,3.55,5.83,31.81,80.88,0
74.85,2.01,6.21,20.64,59.04,0
92.63,0.86,3.38,25.4,60.81,1
72.09,0.51,6.11,51.65,79.16,0
73.09,9.51,4.7,34.98,79.92,1
69.11,5.0,5.54,41.72,27.65,1
46.97,5.88,5.73,45.74,91.7,0
69.68,3.3,3.33,58.61,59.11,0
70.72,5.4,5.89,40.74,51.56,0
99.56,0.92,4.72,48.7,56.57,1
67.69,6.1,3.14,28.02,40.44,0
73.62,1.45,4.78,42.59,100.0,0
69.58,2.17,5.03,30.34,41.51,0
55.98,4.76,5.89,42.88,38.02,0
83.71,4.29,1.42,46.91,60.29,1
79.02,3.71,5.58,41.49,40.16,0
79.49,0.09,4.23,38.65,67.2,0
59.09,3.75,6.21,49.04,94.55,0
86.83,5.9,5.0,38.95,67.97,0
53.18,2.17,4.5,38.79,71.1,0
77.04,6.79,4.73,29.21,59.76,0
96.29,1.32,5.5,52.59,46.26,1
58.11,3.52,6.36,44.37,59.74,0
63.2,7.34,3.66,37.81,83.98,0
71.2,1.8,4.48,29.42,89.44,0
63.96,6.13,7.2,80.05,65.75,1
51.39,8.44,4.46,0.0,80.79,1
70.82,3.93,5.55,33.63,51.05,0
57.25,2.18,3.15,37.76,53.93,0
75.68,1.57,2.43,58.81,36.2,0
58.97,6.76,3.44,40.28,84.96,0
88.6,6.69,3.97,47.73,54.63,0
60.6,7.12,6.56,38.38,41.1,0
66.14,3.42,6.72,72.65,74.03,0
79.76,6.09,2.11,50.93,89.18,0
55.23,3.38,4.19,35.24,58.32,0
72.73,1.29,6.05,55.56,33.12,0
85.69,6.31,4.84,41.29,59.17,0
50.71,7.58,7.26,72.4,69.3,0
72.22,0.95,6.01,65.27,75.72,0
73.12,0.9,4.6,49.42,78.98,0
79.38,3.6,4.73,41.45,66.37,0
55.16,5.89,4.91,35.48,60.34,0
54.15,0.67,3.73,58.23,77.34,0
76.26,4.07,6.41,66.78,41.18,0
73.56,2.02,6.11,40.62,47.56,0
73.01,5.25,5.68,51.74,51.91,0
74.16,1.51,5.36,52.58,57.05,0
61.84,5.43,3.47,58.35,40.11,0
72.79,3.1,5.76,33.32,82.5,0
73.52,1.16,5.19,51.66,43.18,0
61.43,3.66,8.0,78.66,16.61,1
92.39,1.34,3.06,46.44,82.76,1
75.69,2.1,3.92,51.8,74.28,0
55.7,4.34,2.62,50.68,63.91,0
77.88,0.93,4.67,53.3,73.43,0
58.3,2.93,2.39,27.64,66.96,0
79.45,2.35,6.78,75.71,85.95,1
83.9,6.82,6.64,46.5,51.17,0
60.15,3.31,4.76,53.17,96.23,0
81.56,2.17,3.48,46.32,82.06,0
74.95,5.86,2.71,59.15,54.08,0
79.86,2.49,3.94,37.47,51.21,0
92.76,4.17,5.94,25.39,67.64,1
67.06,3.56,3.82,43.24,44.77,0
60.96,2.32,7.86,52.19,61.3,0
59.33,4.24,7.24,39.8,89.23,0
60.21,5.43,5.0,34.93,68.28,0
69.07,3.04,4.31,50.23,100.0,0
74.09,2.35,4.15,31.09,51.14,0
73.32,2.64,7.4,59.69,73.14,0
79.93,2.24,4.01,40.32,55.42,0
70.16,4.21,6.4,52.46,61.27,0
87.44,0.48,5.03,27.58,74.01,0
66.82,5.07,6.07,65.3,51.79,0
102.64,3.27,3.77,52.03,49.48,1
77.51,3.76,4.5,54.2,56.61,0
59.71,5.25,4.96,25.64,55.32,0
57.15,1.18,4.05,33.76,46.82,0
75.79,4.42,6.87,47.99,91.0,0
67.32,4.17,3.85,28.76,59.53,0
78.57,3.04,4.13,35.6,79.94,0
75.68,1.18,7.04,56.33,78.65,0
69.13,4.99,6.75,35.91,83.45,0
59.84,5.26,7.38,50.61,40.95,0
51.82,3.78,2.14,32.59,58.71,0
64.64,0.82,5.3,54.01,77.36,0
80.28,2.18,5.14,28.19,53.92,0
72.57,3.35,4.16,53.91,91.78,0
55.05,5.22,5.49,77.45,42.89,1
72.08,0.46,4.52,36.98,79.77,0
74.62,2.09,5.24,35.08,56.96,0
59.39,2.49,10.1,62.09,83.91,1
71.84,3.29,5.48,45.97,69.85,0
70.7,0.25,5.54,27.46,49.78,0
56.28,2.96,6.23,50.09,79.76,0
74.29,2.72,5.27,48.25,33.89,0
76.73,0.91,3.35,35.51,58.74,0
83.0,3.21,2.53,34.93,56.8,0
82.65,2.15,4.96,58.03,72.78,0
53.47,4.74,4.6,30.18,16.62,1
58.75,1.29,2.05,24.44,69.2,0
76.18,3.72,7.44,33.37,71.71,0
76.17,1.48,5.16,57.98,50.7,0
76.18,2.0,7.16,41.08,59.53,0
116.23,4.24,1.65,36.54,65.63,1
76.85,4.09,7.19,43.97,82.03,0
83.63,2.46,4.27,52.31,26.03,1
81.45,2.83,6.89,68.02,63.97,0
77.82,0.13,5.32,50.26,73.64,0
66.22,7.01,5.68,74.4,76.26,0
79.11,5.22,5.68,55.97,61.07,0
60.73,5.13,4.36,40.54,75.33,0
67.16,0.49,4.03,58.37,63.68,0
64.18,2.01,4.46,54.55,85.28,0
70.98,2.66,2.79,62.43,49.97,0
97.78,1.33,4.28,56.05,53.07,1
47.59,5.72,3.95,46.71,73.31,0
78.24,7.13,2.76,37.79,76.63,0
50.65,8.65,5.69,47.02,74.04,1
64.34,0.89,5.01,22.77,57.34,0
83.07,3.79,5.37,42.56,57.62,0
70.77,6.81,6.05,27.31,64.78,0
57.07,2.87,4.64,51.87,45.17,0
61.42,2.08,3.59,57.51,50.3,0
78.16,1.17,5.46,49.73,91.31,0
61.24,6.33,0.62,42.56,62.0,1
72.6,3.45,4.84,40.72,55.57,0
70.55,1.68,6.15,63.02,54.57,0
62.18,4.21,6.57,59.8,70.24,0
95.73,3.88,4.21,29.08,100.0,1
77.61,3.92,1.64,48.83,85.71,1
45.7,2.96,1.05,49.88,41.42,1
72.24,7.56,5.96,41.92,88.1,0
62.06,3.17,4.47,24.51,49.99,0
80.23,7.55,8.03,14.18,53.34,0
60.49,4.91,2.88,47.58,56.6,0
68.62,4.38,5.51,19.6,43.86,0
76.06,3.22,7.49,37.15,88.14,0
80.39,5.93,5.31,55.27,54.56,0
55.6,3.78,2.61,51.24,27.23,1
65.99,1.17,9.16,36.05,49.75,1
64.3,1.09,7.37,58.43,68.56,0
62.16,4.56,4.66,52.89,34.04,0
91.19,1.23,6.23,37.68,69.86,1
74.86,3.34,6.24,67.82,49.01,0
54.87,6.14,5.96,52.31,85.09,0
81.01,4.26,2.93,33.3,73.19,0
95.47,1.69,5.49,14.21,66.44,1
82.39,7.02,7.19,48.36,37.12,0
51.77,4.87,5.76,37.43,41.79,0
64.19,6.04,5.6,45.31,54.59,0
85.2,2.17,4.19,41.45,60.88,0
61.51,4.33,3.64,12.03,92.52,0
75.33,5.61,2.64,40.62,70.33,0
79.3,7.75,6.14,28.46,58.1,0
58.88,0.16,4.67,37.38,91.55,0
69.29,6.52,2.99,36.32,63.38,0
31.1,7.61,6.46,45.96,72.82,0
57.71,1.54,4.12,49.5,92.97,0
66.97,4.7,3.71,51.92,77.9,0
55.03,5.04,4.26,9.03,72.96,0
89.59,2.68,4.71,66.32,75.46,0
52.84,2.27,5.69,20.52,63.83,0
64.72,5.17,3.69,44.8,65.75,0
71.57,1.96,6.52,32.57,36.48,0
87.3,2.96,5.73,49.43,52.24,0
52.77,5.53,4.23,17.56,64.13,0
83.96,7.89,4.76,68.24,73.34,0
70.12,4.84,4.37,39.61,57.19,0
58.22,3.83,5.1,52.51,100.0,0
75.55,2.21,7.28,32.99,79.15,0
72.39,0.97,4.35,69.91,69.45,0
62.8,6.27,5.28,24.42,38.99,0
70.84,3.12,3.95,5.54,63.97,0
65.38,6.38,5.8,65.44,74.2,0
71.36,2.68,5.41,27.36,63.32,0
77.95,1.88,6.99,43.95,62.6,0
89.03,4.55,3.76,68.38,62.17,0
55.15,3.31,6.04,38.92,52.35,0
95.6,0.49,6.9,48.9,42.5,1
46.57,8.04,4.34,57.22,100.0,1
68.18,1.93,4.81,45.45,46.95,0
77.06,5.82,5.29,64.52,56.59,0
73.37,5.6,4.65,55.58,69.56,0
62.53,0.35,5.27,31.59,27.99,1
67.5,0.99,6.01,55.98,92.96,0
64.08,2.75,4.83,44.48,86.05,0
62.93,1.34,4.82,44.56,37.94,0
80.2,7.82,5.4,49.99,59.18,0
74.28,3.0,4.4,58.81,82.21,0
61.69,5.72,4.48,30.56,64.59,0
80.8,4.78,3.65,64.58,82.99,0
73.69,4.16,4.94,63.66,92.49,0
79.75,3.6,5.67,35.51,50.07,0
77.56,6.59,4.6,71.38,73.41,0
60.05,1.44,3.84,42.4,43.33,0
